iteration,true_r,true_theta,true_x,true_y,zgrid_r,zgrid_theta,zgrid_x,zgrid_y,zgrid_max_value,com_r,com_theta,com_x,com_y
0,5.000,5.498,3.536,-3.536,5.500,5.576,4.182,-3.572,4.485,7.486,4.365,-2.548,-7.039
0,5.000,5.498,3.536,-3.536,5.300,5.576,4.030,-3.442,3.513,0.246,5.012,0.073,-0.235
1,5.000,5.498,3.536,-3.536,5.500,1.702,-0.718,5.453,1.837,0.232,4.814,0.024,-0.230
2,5.000,5.498,3.536,-3.536,9.300,0.026,9.297,0.243,1.971,0.173,4.571,-0.024,-0.171
0,5.000,5.498,3.536,-3.536,3.900,5.419,2.533,-2.966,3.945,0.523,5.251,0.269,-0.449
1,5.000,5.498,3.536,-3.536,4.700,5.262,2.456,-4.007,3.969,0.289,5.333,0.168,-0.235
0,5.000,5.498,3.536,-3.536,5.100,5.524,3.699,-3.511,4.505,0.041,4.077,-0.024,-0.033
1,5.000,5.498,3.536,-3.536,4.300,2.016,-1.851,3.881,1.719,0.188,5.390,0.118,-0.147
0,5.000,5.498,3.536,-3.536,4.300,5.629,3.411,-2.618,1.117,0.198,0.304,0.189,0.059
1,5.000,5.498,3.536,-3.536,3.500,3.953,-2.409,-2.539,1.048,0.110,0.280,0.106,0.031
0,5.000,5.498,3.536,-3.536,5.500,5.576,4.182,-3.572,0.000,0.083,1.013,0.044,0.070
0,5.000,5.498,3.536,-3.536,5.500,5.629,4.363,-3.348,0.001,0.259,3.684,-0.221,-0.133
1,5.000,5.498,3.536,-3.536,4.700,5.472,3.235,-3.409,0.001,0.174,4.043,-0.108,-0.136
0,5.000,5.498,3.536,-3.536,5.300,5.315,3.002,-4.368,0.013,0.177,5.139,0.073,-0.161
0,5.000,5.498,3.536,-3.536,5.900,5.367,3.592,-4.681,0.006,0.183,6.094,0.180,-0.034
1,5.000,5.498,3.536,-3.536,5.300,5.367,3.226,-4.205,0.008,0.179,0.714,0.135,0.117
0,5.000,5.498,3.536,-3.536,5.500,5.419,3.572,-4.182,584.764,0.021,2.867,-0.021,0.006
1,5.000,5.498,3.536,-3.536,9.900,1.806,-2.311,9.626,283.221,0.012,2.192,-0.007,0.010
0,5.000,5.498,3.536,-3.536,5.100,5.472,3.511,-3.699,591.898,0.283,1.287,0.079,0.272
1,5.000,5.498,3.536,-3.536,7.300,3.691,-6.224,-3.814,256.259,0.074,1.417,0.011,0.073
0,5.000,5.498,3.536,-3.536,5.100,5.524,3.699,-3.511,438.475,9.813,4.603,-1.071,-9.755
0,5.000,5.498,3.536,-3.536,5.100,5.524,3.699,-3.511,432.374,9.990,2.076,-4.831,8.744
1,5.000,5.498,3.536,-3.536,6.100,0.393,5.636,2.334,215.923,9.999,2.073,-4.813,8.765
0,5.000,5.498,3.536,-3.536,4.900,5.524,3.554,-3.373,631.419,0.861,2.892,-0.835,0.212
0,5.000,5.498,3.536,-3.536,5.100,5.524,3.699,-3.511,640.231,5.018,5.491,3.525,-3.571
1,5.000,5.498,3.536,-3.536,1.100,1.859,-0.312,1.055,202.865,2.019,1.983,-0.809,1.850
2,5.000,5.498,3.536,-3.536,4.900,5.524,3.554,-3.373,447.000,4.897,5.493,3.444,-3.481
0,5.000,5.498,3.536,-3.536,4.300,5.524,3.119,-2.960,501.644,9.955,4.928,2.126,-9.726
0,5.000,5.498,3.536,-3.536,5.100,5.576,3.878,-3.312,573.447,9.828,1.918,-3.344,9.241
0,5.000,5.498,3.536,-3.536,5.700,5.472,3.924,-4.135,500.920,1.575,5.556,1.177,-1.047
1,5.000,5.498,3.536,-3.536,3.700,5.524,2.684,-2.547,1023.596,4.954,5.459,3.365,-3.635
2,5.000,5.498,3.536,-3.536,8.500,5.524,6.166,-5.851,309.846,5.547,5.456,3.755,-4.083
0,5.000,5.498,3.536,-3.536,4.900,5.472,3.373,-3.554,555.127,3.109,5.481,2.161,-2.236
1,5.000,5.498,3.536,-3.536,5.300,5.576,4.030,-3.442,813.257,4.883,5.529,3.560,-3.342
2,5.000,5.498,3.536,-3.536,6.500,5.576,4.943,-4.221,486.488,6.527,5.557,4.878,-4.336
